DateTime,IncidentNumber,IncidentORI
2022-02-07 01:09:00,2022-00006629,CLASSEN BLVD / E IMHOFF RD
2022-02-07 01:12:00,2022-00001879,1300 S COLLEGE AVE
2022-02-07 01:41:00,2022-00002406,901 N PORTER AVE
2022-02-07 01:43:00,2022-00006631,ALAMEDA ST / VILLA DR
2022-02-07 02:23:00,2022-00002407,3300 HEALTHPLEX PKWY
2022-02-07 02:46:00,2022-00006632,901 12TH AVE NE
2022-02-07 02:46:00,2022-00001880,1413 NEBRASKA ST
2022-02-07 02:46:00,2022-00002408,1413 NEBRASKA ST
2022-02-07 02:46:00,2022-00006633,1413 NEBRASKA ST
2022-02-07 03:03:00,2022-00006635,2741 LERKIM LN
2022-02-07 03:26:00,2022-00006634,3386 W ROBINSON ST
2022-02-07 03:37:00,2022-00006637,4403 WILLOWPOINT DR
2022-02-07 03:44:00,2022-00006638,1604 W ROBINSON ST
2022-02-07 03:51:00,2022-00006639,N JAMES GARNER AVE / W MAIN ST
2022-02-07 03:59:00,2022-00006640,1113 CANTERBURY AVE
2022-02-07 04:48:00,2022-00001881,1123 W COMANCHE ST
2022-02-07 04:49:00,2022-00006642,2201 W LINDSEY ST
2022-02-07 04:49:00,2022-00006641,1050 ED NOBLE DR
2022-02-07 05:09:00,2022-00001882,5401 HUETTNER DR
2022-02-07 05:09:00,2022-00002409,5401 HUETTNER DR
2022-02-07 05:36:00,2022-00001883,325 E COMANCHE ST
2022-02-07 05:36:00,2022-00002410,325 E COMANCHE ST
2022-02-07 05:57:00,2022-00006643,101 W FRANKLIN RD
2022-02-07 05:57:00,2022-00001884,5000 YORK DR
2022-02-07 05:57:00,2022-00002411,5000 YORK DR
2022-02-07 06:22:00,2022-00006644,1311 DA VINCI ST
2022-02-07 06:30:00,2022-00006645,1225 W LINDSEY ST
2022-02-07 06:53:00,2022-00006646,E FRANKLIN RD / 120TH AVE NE
2022-02-07 06:56:00,2022-00006647,619 CAROLYN RIDGE RD
2022-02-07 07:02:00,2022-00006648,1601 MCGEE DR
2022-02-07 07:08:00,2022-00006649,2113 W LINDSEY ST
2022-02-07 07:08:00,2022-00006650,3705 ANDREW CT
2022-02-07 07:16:00,2022-00006651,325 E COMANCHE ST
2022-02-07 07:36:00,2022-00001885,3710 PAINTED BIRD LN
2022-02-07 07:36:00,2022-00002412,3710 PAINTED BIRD LN
2022-02-07 07:38:00,2022-00006653,1603 BARWICK DR
2022-02-07 07:38:00,2022-00006652,1200 CLASSEN BLVD
2022-02-07 07:47:00,2022-00006654,3705 ANDREW CT
2022-02-07 07:48:00,2022-00006661,719 E FRANK ST
2022-02-07 07:50:00,2022-00006655,1978 ALAMEDA ST
2022-02-07 08:03:00,2022-00006656,1528 E LINDSEY ST
2022-02-07 08:03:00,2022-00006659,700 W MAIN ST
2022-02-07 08:05:00,2022-00006657,1230 ALAMEDA ST
2022-02-07 08:08:00,2022-00006663,120 E HAYES ST
2022-02-07 08:12:00,2022-00006658,2010 24TH AVE NW
2022-02-07 08:13:00,2022-00006660,1131 RAMBLING OAKS DR
2022-02-07 08:22:00,2022-00001886,917 24TH AVE SW
2022-02-07 08:22:00,2022-00002413,917 24TH AVE SW
2022-02-07 08:27:00,2022-00006664,201 W GRAY ST
2022-02-07 08:32:00,2022-00006662,201 W GRAY ST
2022-02-07 08:33:00,2022-00001887,1000 N STATE DR
2022-02-07 08:34:00,2022-00006665,3705 BARWICK CT
2022-02-07 08:35:00,2022-00006669,928 DEONNE CIR
2022-02-07 08:45:00,2022-00006666,917 24TH AVE SW
2022-02-07 08:49:00,2022-00006667,17901 E STATE HWY 9 HWY
2022-02-07 08:56:00,2022-00001888,3110 HEALTHPLEX PKWY
2022-02-07 08:56:00,2022-00002414,3110 HEALTHPLEX PKWY
2022-02-07 08:58:00,2022-00006671,2815 DEWEY AVE
2022-02-07 09:00:00,2022-00006668,800 PARSONS ST
2022-02-07 09:01:00,2022-00001889,700 COLLEGE AVE
2022-02-07 09:07:00,2022-00006674,3317 VALLEY HOLLOW
2022-02-07 09:08:00,2022-00006670,3730 N PORTER AVE
2022-02-07 09:08:00,2022-00002420,3300 HEALTHPLEX PKWY
2022-02-07 09:09:00,2022-00006672,3715 PRESIDIO CIR
2022-02-07 09:19:00,2022-00006673,3911 MORRISON CIR
2022-02-07 09:26:00,2022-00001890,532 JEAN MARIE DR
2022-02-07 09:26:00,2022-00002415,532 JEAN MARIE DR
2022-02-07 09:30:00,2022-00006675,1303 W TECUMSEH RD
2022-02-07 09:39:00,2022-00001891,425 12TH AVE NE
2022-02-07 09:39:00,2022-00002416,425 12TH AVE NE
2022-02-07 09:41:00,2022-00001892,301 DAVID L BOREN BLVD
2022-02-07 09:51:00,2022-00006676,3832 HIGHPOINT CT
2022-02-07 10:02:00,2022-00006682,3818 MISTWOOD PL
2022-02-07 10:04:00,2022-00006677,2200 W BROOKS ST
2022-02-07 10:04:00,2022-00001893,400 STARSHINE DR
2022-02-07 10:04:00,2022-00002417,400 STARSHINE DR
2022-02-07 10:07:00,2022-00006678,2500 MEADOWOOD BLVD
2022-02-07 10:10:00,2022-00006686,301 CHALMETTE DR
2022-02-07 10:10:00,2022-00006679,222 E EUFAULA ST
2022-02-07 10:12:00,2022-00006684,309 HOOD CT
2022-02-07 10:13:00,2022-00006680,100 E COMANCHE ST
2022-02-07 10:16:00,2022-00001894,1302 ZACHARY LN
2022-02-07 10:17:00,2022-00006681,"1400 24 AVE NW, NORMAN, OK"
2022-02-07 10:27:00,2022-00006683,3628 INDIAN POINT CIR
2022-02-07 10:29:00,2022-00002440,901 N PORTER AVE
2022-02-07 10:33:00,2022-00002418,3110 HEALTHPLEX PKWY
2022-02-07 10:44:00,2022-00006685,W BOYD ST / S BERRY RD
2022-02-07 10:51:00,2022-00006689,200 W HAYES ST
2022-02-07 10:51:00,2022-00006692,116 OLDE BROOK CT
2022-02-07 10:51:00,2022-00006687,201 W GRAY ST
2022-02-07 10:52:00,2022-00001895,750 CANADIAN TRAILS DR
2022-02-07 10:52:00,2022-00002419,750 CANADIAN TRAILS DR
2022-02-07 10:59:00,2022-00006690,4136 CASTLEROCK RD
2022-02-07 11:01:00,2022-00006688,1813 HILLCREST DR
2022-02-07 11:06:00,2022-00002423,901 N PORTER AVE
2022-02-07 11:13:00,2022-00006694,301 NORMAN CENTER CT
2022-02-07 11:14:00,2022-00006691,3800 ABINGDON DR
2022-02-07 11:16:00,2022-00006693,1155 BILOXI DR
2022-02-07 11:22:00,2022-00006695,2437 W MAIN ST
2022-02-07 11:33:00,2022-00002421,1306 SEQUOYAH AVE
2022-02-07 11:38:00,2022-00002422,2901 S SANTA FE AVE
2022-02-07 11:43:00,2022-00006696,201 W GRAY ST
2022-02-07 11:49:00,2022-00001896,333 E BROOKS ST
2022-02-07 11:51:00,2022-00006700,602 HEATHERHILL DR
2022-02-07 11:55:00,2022-00006697,1813 HILLCREST DR
2022-02-07 12:08:00,2022-00006698,103 W ACRES ST
2022-02-07 12:09:00,2022-00006699,502 MACY ST
2022-02-07 12:11:00,2022-00006701,1305 E IMHOFF RD
2022-02-07 12:18:00,2022-00006702,796 ASP AVE
2022-02-07 12:25:00,2022-00006707,644 S FLOOD AVE
2022-02-07 12:28:00,2022-00006703,332 MERKLE DR
2022-02-07 12:29:00,2022-00006705,1111 OAK TREE AVE
2022-02-07 12:32:00,2022-00006704,100 S JAMES GARNER AVE
2022-02-07 12:32:00,2022-00006706,3400 SHADOW ST
2022-02-07 12:33:00,2022-00001897,2200 ALAMEDA ST
2022-02-07 12:35:00,2022-00006709,E EUFAULA ST / S FINDLAY AVE
2022-02-07 12:36:00,2022-00001898,2500 MEADOWOOD BLVD
2022-02-07 12:36:00,2022-00002424,2500 MEADOWOOD BLVD
2022-02-07 12:40:00,2022-00006708,1510 W BOYD ST
2022-02-07 12:41:00,2022-00006710,201 W GRAY ST
2022-02-07 12:41:00,2022-00001899,903 EAGLEROCK LN
2022-02-07 12:41:00,2022-00002425,903 EAGLEROCK LN
2022-02-07 12:43:00,2022-00001900,3000 E INDIAN HILLS RD
2022-02-07 12:43:00,2022-00002426,3000 E INDIAN HILLS RD
2022-02-07 12:47:00,2022-00002432,901 N PORTER AVE
2022-02-07 12:55:00,2022-00001901,2300 CONFERENCE DR
2022-02-07 13:02:00,2022-00006713,2401 N PORTER AVE
2022-02-07 13:04:00,2022-00006711,669 E BOYD ST
2022-02-07 13:04:00,2022-00006712,910 W BOYD ST
2022-02-07 13:06:00,2022-00006718,1800 RIDGEWOOD DR
2022-02-07 13:10:00,2022-00006714,211 W BOYD ST
2022-02-07 13:11:00,2022-00006715,1032 W LINDSEY ST
2022-02-07 13:12:00,2022-00001902,1310 COMMERCE DR
2022-02-07 13:12:00,2022-00002427,1310 COMMERCE DR
2022-02-07 13:13:00,2022-00006716,900 E LINDSEY ST
2022-02-07 13:15:00,2022-00006717,2504 WOODSONG DR
2022-02-07 13:20:00,2022-00002434,901 N PORTER AVE
2022-02-07 13:26:00,2022-00006719,201 W GRAY ST
2022-02-07 13:26:00,2022-00001903,1706 SURREY PL
2022-02-07 13:26:00,2022-00002428,1706 SURREY PL
2022-02-07 13:26:00,2022-00006721,1706 SURREY PL
2022-02-07 13:27:00,2022-00006720,2805 DEWEY AVE
2022-02-07 13:28:00,2022-00002430,3300 HEALTHPLEX PKWY
2022-02-07 13:28:00,2022-00006722,1717 W LINDSEY ST
2022-02-07 13:31:00,2022-00001904,N PORTER AVE / E MAIN ST
2022-02-07 13:31:00,2022-00002429,N PORTER AVE / E MAIN ST
2022-02-07 13:33:00,2022-00001905,3301 W MAIN ST
2022-02-07 13:33:00,2022-00002431,3301 W MAIN ST
2022-02-07 13:33:00,2022-00006723,3301 W MAIN ST
2022-02-07 13:35:00,2022-00002438,901 N PORTER AVE
2022-02-07 13:38:00,2022-00006724,2657 CLASSEN BLVD
2022-02-07 13:38:00,2022-00006725,4201 28TH AVE NW
2022-02-07 13:40:00,2022-00002433,901 N PORTER AVE
2022-02-07 13:44:00,2022-00006726,901 N PORTER AVE
2022-02-07 13:48:00,2022-00006727,1349 REGENT ST
2022-02-07 13:51:00,2022-00006728,2361 ALAMEDA ST
2022-02-07 14:00:00,2022-00006729,215 N PONCA AVE
2022-02-07 14:11:00,2022-00006733,2805 DEWEY AVE
2022-02-07 14:14:00,2022-00006730,2657 CLASSEN BLVD
2022-02-07 14:15:00,2022-00006731,201 W GRAY ST
2022-02-07 14:20:00,2022-00006732,201 W GRAY ST
2022-02-07 14:24:00,2022-00006735,13508 CRYSTAL BROOK CIR
2022-02-07 14:26:00,2022-00006734,W HAYES ST / N JONES AVE
2022-02-07 14:27:00,2022-00006769,2805 DEWEY AVE
2022-02-07 14:34:00,2022-00002441,901 N PORTER AVE
2022-02-07 14:51:00,2022-00006736,4350 COVINGTON WAY
2022-02-07 14:52:00,2022-00006739,4250 W TECUMSEH RD
2022-02-07 14:53:00,2022-00006737,2504 FIVE OAKS DR
2022-02-07 14:56:00,2022-00006738,559 W MAIN ST
2022-02-07 14:56:00,2022-00006740,201 W GRAY ST
2022-02-07 15:05:00,2022-00006741,132 W MAIN ST
2022-02-07 15:12:00,2022-00006756,5301 ALAMEDA ST
2022-02-07 15:13:00,2022-00006742,1603 SOUTHERN HEIGHTS AVE
2022-02-07 15:15:00,2022-00006743,311 ECCELL CT
2022-02-07 15:18:00,2022-00001906,3117 PHEASANT RUN RD
2022-02-07 15:18:00,2022-00002435,3117 PHEASANT RUN RD
2022-02-07 15:23:00,2022-00001907,2615 CABIN RD
2022-02-07 15:28:00,2022-00006767,1922 OAKHOLLOW DR
2022-02-07 15:28:00,2022-00001908,701 E ROBINSON ST
2022-02-07 15:28:00,2022-00002436,701 E ROBINSON ST
2022-02-07 15:29:00,2022-00006746,WILCOX DR / 24TH AVE SW
2022-02-07 15:29:00,2022-00006745,1110 SIENA SPRINGS DR
2022-02-07 15:30:00,2022-00006744,103 W ACRES ST
2022-02-07 15:31:00,2022-00006748,3300 HEALTHPLEX PKWY
2022-02-07 15:33:00,2022-00001909,1518 MORREN DR
2022-02-07 15:33:00,2022-00002437,1518 MORREN DR
2022-02-07 15:35:00,2022-00006747,816 PEREGRINE DR
2022-02-07 15:35:00,2022-00006755,1400 24TH AVE NW
2022-02-07 15:38:00,2022-00006751,201 W GRAY ST
2022-02-07 15:39:00,2022-00006749,201 W GRAY ST
2022-02-07 15:41:00,2022-00006752,1130 RAMBLING OAKS DR
2022-02-07 15:41:00,2022-00006750,621 SUNRISE ST
2022-02-07 15:44:00,2022-00006754,2815 S MONITOR AVE
2022-02-07 15:45:00,2022-00006753,1872 168TH AVE NE
2022-02-07 15:46:00,2022-00002439,901 N PORTER AVE
2022-02-07 15:52:00,2022-00006757,2301 E ROBINSON ST
2022-02-07 15:58:00,2022-00002447,3300 HEALTHPLEX PKWY
2022-02-07 16:01:00,2022-00006758,1809 N STUBBEMAN AVE
2022-02-07 16:18:00,2022-00006760,8 PEBBLECREEK RD
2022-02-07 16:22:00,2022-00006761,2411 SPRINGER DR
2022-02-07 16:24:00,2022-00006763,E HUGHBERT ST / N CRAWFORD AVE
2022-02-07 16:24:00,2022-00006762,2657 CLASSEN BLVD
2022-02-07 16:28:00,2022-00006764,840 COPPERFIELD DR
2022-02-07 16:34:00,2022-00006768,2501 PENDLETON DR
2022-02-07 16:40:00,2022-00006770,142 PAGE ST
2022-02-07 16:42:00,2022-00006765,3500 HEALTHPLEX PKWY
2022-02-07 16:46:00,2022-00001910,201 REED AVE
2022-02-07 16:51:00,2022-00002443,901 N PORTER AVE
2022-02-07 16:53:00,2022-00006778,2149 HOUSTON AVE
2022-02-07 16:54:00,2022-00006766,2900 CHAUTAUQUA AVE
2022-02-07 16:58:00,2022-00002442,901 N PORTER AVE
2022-02-07 16:58:00,2022-00006773,201 W GRAY ST
2022-02-07 17:10:00,2022-00006771,2550 MOUNT WILLIAMS DR
2022-02-07 17:14:00,2022-00002456,901 N PORTER AVE
2022-02-07 17:15:00,2022-00006772,STUBBEMAN AVE / W ROBINSON ST
2022-02-07 17:18:00,2022-00001911,3812 TAYPORT ST
2022-02-07 17:18:00,2022-00002444,3812 TAYPORT ST
2022-02-07 17:18:00,2022-00006774,3812 TAYPORT ST
2022-02-07 17:20:00,2022-00006775,317 EDGE BROOK LN
2022-02-07 17:22:00,2022-00006776,909 24TH AVE SW
2022-02-07 17:24:00,2022-00001912,1801 N CRAWFORD AVE
2022-02-07 17:24:00,2022-00002445,1801 N CRAWFORD AVE
2022-02-07 17:25:00,2022-00001913,5740 12TH AVE NW
2022-02-07 17:27:00,2022-00006779,W MAIN ST / I35 NB OFF RAMP 109 
2022-02-07 17:29:00,2022-00006777,210 N FLOOD AVE
2022-02-07 17:37:00,2022-00006780,3705 ANDREW CT
2022-02-07 17:50:00,2022-00006782,201 WOODCREST DR
2022-02-07 17:51:00,2022-00006781,NORMAN REGIONAL HEALTHPLEX
2022-02-07 17:58:00,2022-00006783,4017 24TH AVE SE
2022-02-07 18:01:00,2022-00001914,3701 QUAIL DR
2022-02-07 18:01:00,2022-00002446,3701 QUAIL DR
2022-02-07 18:01:00,2022-00006785,3701 QUAIL DR
2022-02-07 18:05:00,2022-00006787,4216 HACKNEY WICK RD
2022-02-07 18:06:00,2022-00006784,901 N PORTER AVE
2022-02-07 18:09:00,2022-00006786,N PORTER AVE / E TECUMSEH RD
2022-02-07 18:15:00,2022-00006788,2021 ALAMEDA ST
2022-02-07 18:19:00,2022-00006790,1913 RISING HILL DR
2022-02-07 18:20:00,2022-00006789,616 24TH AVE SW
2022-02-07 18:21:00,2022-00006792,513 CLEARVIEW DR
2022-02-07 18:25:00,2022-00006793,1598 FAWN RUN XING
2022-02-07 18:28:00,2022-00001915,622 N PORTER AVE
2022-02-07 18:28:00,2022-00002448,622 N PORTER AVE
2022-02-07 18:28:00,2022-00006794,622 N PORTER AVE
2022-02-07 18:34:00,2022-00006795,3201 13TH PL
2022-02-07 18:35:00,2022-00001916,3001 PHEASANT RUN RD
2022-02-07 18:35:00,2022-00002449,3001 PHEASANT RUN RD
2022-02-07 18:42:00,2022-00001917,325 E COMANCHE ST
2022-02-07 18:42:00,2022-00002450,325 E COMANCHE ST
2022-02-07 18:43:00,2022-00006796,24TH AVE SW / W MAIN ST
2022-02-07 18:54:00,2022-00001918,4501 W MAIN ST
2022-02-07 18:54:00,2022-00002451,4501 W MAIN ST
2022-02-07 18:55:00,2022-00006797,2657 S CLASSEN BLVD
2022-02-07 18:56:00,2022-00006798,2657 CLASSEN BLVD
2022-02-07 18:59:00,2022-00002452,3300 HEALTHPLEX PKWY
2022-02-07 19:01:00,2022-00006799,333 INTERSTATE DR E
2022-02-07 19:02:00,2022-00006800,W FRANKLIN RD / DERBY DR
2022-02-07 19:04:00,2022-00006802,1300 S CLASSEN BLVD
2022-02-07 19:09:00,2022-00006801,N PORTER AVE / E ROBINSON ST
2022-02-07 19:20:00,2022-00006804,2501 PENDLETON DR
2022-02-07 19:28:00,2022-00001919,3001 ALAMEDA ST
2022-02-07 19:28:00,2022-00006803,3001 ALAMEDA ST
2022-02-07 19:50:00,2022-00001920,2021 ALAMEDA ST
2022-02-07 19:50:00,2022-00002453,2021 ALAMEDA ST
2022-02-07 20:00:00,2022-00006824,3812 HIDDEN HILL RD
2022-02-07 20:02:00,2022-00001921,4020 108TH AVE SE
2022-02-07 20:02:00,2022-00002454,4020 108TH AVE SE
2022-02-07 20:05:00,2022-00001922,1800 BEAUMONT DR
2022-02-07 20:05:00,2022-00002455,1800 BEAUMONT DR
2022-02-07 20:06:00,2022-00006806,2556 S CLASSEN BLVD
2022-02-07 20:13:00,2022-00006807,12TH AVE NE / E TECUMSEH RD
2022-02-07 20:18:00,2022-00006808,333 INTERSTATE DR E
2022-02-07 20:29:00,2022-00006809,1400 24TH AVE NW
2022-02-07 20:31:00,2022-00006810,221 BULL RUN ST
2022-02-07 20:44:00,2022-00006811,825 PEREGRINE DR
2022-02-07 20:53:00,2022-00002457,901 N PORTER AVE
2022-02-07 20:56:00,2022-00002458,3300 HEALTHPLEX PKWY
2022-02-07 20:58:00,2022-00006812,3001 OAK TREE AVE
2022-02-07 20:58:00,2022-00001923,1316 BROOKSIDE DR
2022-02-07 20:59:00,2022-00006813,NIGHT HAWK DR / EAGLE CLIFF DR
2022-02-07 21:08:00,2022-00006815,2795 BROCE DR
2022-02-07 21:09:00,2022-00006814,3900 24TH AVE SE
2022-02-07 21:11:00,2022-00002459,750 CANADIAN TRAILS DR
2022-02-07 21:18:00,2022-00006816,1907 TWISTED OAK DR
2022-02-07 21:33:00,2022-00006817,35.170805;-97.402405
2022-02-07 21:36:00,2022-00006819,725 W GRAY ST
2022-02-07 21:37:00,2022-00006818,218 E MAIN ST
2022-02-07 21:46:00,2022-00006820,E LINDSEY ST / BILOXI DR
2022-02-07 22:00:00,2022-00006821,12TH AVE NE / ALAMEDA ST
2022-02-07 22:08:00,2022-00006822,1009 E BROOKS ST
2022-02-07 22:14:00,2022-00006823,1432 24TH AVE SE
2022-02-07 22:19:00,2022-00006825,E MAIN ST / N JONES AVE
2022-02-07 22:27:00,2022-00006826,615 12TH AVE NE
2022-02-07 22:30:00,2022-00006827,W LINDSEY ST / CHAUTAUQUA AVE
2022-02-07 22:36:00,2022-00006828,QUORUM CONDOMINIUMS
2022-02-07 22:36:00,2022-00006829,2154 W BROOKS ST
2022-02-07 22:39:00,2022-00006830,2010 24TH AVE NW
2022-02-07 22:47:00,2022-00001924,428 LONE OAK DR
2022-02-07 22:52:00,2022-00006831,1201 ALAMEDA ST
2022-02-07 22:57:00,2022-00006832,600 66TH AVE SE
2022-02-07 22:58:00,2022-00006834,2657 CLASSEN BLVD
2022-02-07 22:59:00,2022-00006833,E LINDSEY ST / JENKINS AVE
2022-02-07 23:07:00,2022-00006835,2077 W LINDSEY ST
2022-02-07 23:10:00,2022-00006836,2657 CLASSEN BLVD
2022-02-07 23:15:00,2022-00001925,S HARRAH RD / ROLLING OAK RD
2022-02-07 23:15:00,2022-00002460,S HARRAH RD / ROLLING OAK RD
2022-02-07 23:17:00,2022-00006837,12TH AVE SE / E LINDSEY ST
2022-02-07 23:22:00,2022-00006838,301 HAL MULDROW DR
2022-02-07 23:34:00,2022-00001926,928 DEONNE CIR
2022-02-07 23:34:00,2022-00002461,928 DEONNE CIR
2022-02-08 00:02:00,2022-00006840,201 REED AVE
2022-02-08 00:04:00,2022-00006841,909 24TH AVE SW
2022-02-08 00:39:00,2022-00006843,750 W IMHOFF RD
2022-02-08 00:41:00,2022-00006842,3100 ROCK CREEK TRL
2022-02-08 00:51:00,2022-00006844,4109 NORTHWICH DR
2022-02-08 01:04:00,2022-00002462,901 N PORTER AVE
2022-02-08 01:27:00,2022-00001927,1715 JENNIFER CIR
2022-02-08 01:38:00,2022-00006845,3750 RIVER OAKS DR
2022-02-08 01:46:00,2022-00006846,2657 CLASSEN BLVD
2022-02-08 02:06:00,2022-00006847,W ROBINSON ST / 24TH AVE NW
2022-02-08 02:07:00,2022-00006848,3205 W ROBINSON ST
2022-02-08 02:22:00,2022-00006849,3812 HIDDEN HILL
2022-02-08 03:09:00,2022-00001928,200 VICKSBURG AVE
2022-02-08 03:09:00,2022-00002463,200 VICKSBURG AVE
2022-02-08 03:20:00,2022-00006850,615 W MAIN ST
2022-02-08 03:30:00,2022-00001929,1415 E ROBINSON ST
2022-02-08 03:30:00,2022-00002464,1415 E ROBINSON ST
2022-02-08 03:33:00,2022-00002465,901 N PORTER AVE
2022-02-08 03:52:00,2022-00006851,3001 PHEASANT RUN RD
2022-02-08 04:04:00,2022-00006852,2801 TECHNOLOGY PL
2022-02-08 04:30:00,2022-00006853,112 W HAYES ST
2022-02-08 04:47:00,2022-00006854,2657 CLASSEN BLVD
2022-02-08 05:00:00,2022-00002467,901 N PORTER AVE
2022-02-08 05:03:00,2022-00006855,231 E SYMMES ST
2022-02-08 05:25:00,2022-00002470,901 N PORTER AVE
2022-02-08 05:25:00,2022-00006856,1925 TWISTED OAK DR
2022-02-08 05:42:00,2022-00006857,3812 HIDDEN HILL RD
2022-02-08 05:45:00,2022-00001931,3001 PHEASANT RUN RD
2022-02-08 05:45:00,2022-00002468,3001 PHEASANT RUN RD
2022-02-08 05:45:00,2022-00006858,3001 PHEASANT RUN RD
2022-02-08 05:50:00,2022-00001932,1776 E ROBINSON ST
2022-02-08 05:50:00,2022-00002469,1776 E ROBINSON ST
2022-02-08 06:19:00,2022-00006859,800 N PETERS AVE
2022-02-08 06:43:00,2022-00002471,3300 HEALTHPLEX PKWY
2022-02-08 07:03:00,2022-00006860,2815 MONITOR AVE
2022-02-08 07:07:00,2022-00006861,481 INTERSTATE DR
2022-02-08 07:13:00,2022-00002473,901 N PORTER AVE
2022-02-08 07:19:00,2022-00002472,901 N PORTER AVE
2022-02-08 07:21:00,2022-00006862,728 E COMANCHE ST
2022-02-08 08:07:00,2022-00006863,LEEDS LN / WHEATLAND DR
2022-02-08 08:09:00,2022-00006865,201 REED AVE
2022-02-08 08:10:00,2022-00006864,400 PARK DR
2022-02-08 08:12:00,2022-00006866,3316 VALLEY HOLLOW
2022-02-08 08:16:00,2022-00006871,601 E BOYD ST
2022-02-08 08:19:00,2022-00006867,1111 WYLIE RD
2022-02-08 08:24:00,2022-00006868,2149 E IMHOFF RD
2022-02-08 08:27:00,2022-00006869,N PORTER AVE / E ROBINSON ST
2022-02-08 08:28:00,2022-00006877,3409 FIRESIDE ST
2022-02-08 08:29:00,2022-00001933,700 N BERRY RD
2022-02-08 08:32:00,2022-00006870,502 S UNIVERSITY BLVD
2022-02-08 08:35:00,2022-00006873,2550 W FRANKLIN RD
2022-02-08 08:36:00,2022-00006885,201 W GRAY ST
2022-02-08 08:38:00,2022-00006872,2840 MOUNT WILLIAMS DR
2022-02-08 08:38:00,2022-00006874,814 S PONCA AVE
2022-02-08 08:43:00,2022-00006895,1328 TARMAN CIR
2022-02-08 08:49:00,2022-00006878,2609 SHORERIDGE AVE
2022-02-08 08:50:00,2022-00006875,3450 W TECUMSEH RD
2022-02-08 08:54:00,2022-00001934,W BOYD ST / S PICKARD AVE
2022-02-08 08:54:00,2022-00002474,W BOYD ST / S PICKARD AVE
2022-02-08 08:54:00,2022-00006876,W BOYD ST / S PICKARD AVE
2022-02-08 08:58:00,2022-00006890,2140 CLASSEN BLVD
2022-02-08 09:01:00,2022-00006879,1321 MONTEREY DR
2022-02-08 09:06:00,2022-00006880,"1400 24TH AVE NW, NORMAN, OK"
2022-02-08 09:06:00,2022-00006881,1224 ALAMEDA ST
2022-02-08 09:08:00,2022-00002478,901 N PORTER AVE
2022-02-08 09:10:00,2022-00006882,"2900 OAKTREE AVE , NORMAN"
2022-02-08 09:10:00,2022-00006894,700 ASP AVE
2022-02-08 09:16:00,2022-00006889,104 W SYMMES ST
2022-02-08 09:18:00,2022-00006886,207 E DUFFY ST
2022-02-08 09:19:00,2022-00006883,2815 DEWEY AVE
2022-02-08 09:19:00,2022-00001935,3808 BRENTON CIR
2022-02-08 09:19:00,2022-00002475,3808 BRENTON CIR
2022-02-08 09:21:00,2022-00006884,"1400 24TH AVE NW, NORMAN, OK"
2022-02-08 09:23:00,2022-00006901,109 E TONHAWA ST
2022-02-08 09:26:00,2022-00006887,2200 CLASSEN BLVD
2022-02-08 09:27:00,2022-00001936,620 PARRINGTON OVAL
2022-02-08 09:27:00,2022-00006905,481 INTERSTATE DR
2022-02-08 09:28:00,2022-00001937,4100 CASTLEROCK RD
2022-02-08 09:28:00,2022-00002476,4100 CASTLEROCK RD
2022-02-08 09:33:00,2022-00006900,6475 36TH AVE NW
2022-02-08 09:33:00,2022-00006888,600 S WEBSTER AVE
2022-02-08 09:35:00,2022-00006902,311 W BOYD ST
2022-02-08 09:46:00,2022-00006899,955 INTERSTATE DR
2022-02-08 09:49:00,2022-00006891,3301 W MAIN ST
2022-02-08 09:52:00,2022-00006892,N PORTER AVE / SANDPIPER LN
2022-02-08 09:52:00,2022-00006904,807 S PONCA AVE
2022-02-08 09:56:00,2022-00006893,"601 12TH AVE NE, NORMAN, OK"
2022-02-08 10:00:00,2022-00006907,201 W GRAY ST
2022-02-08 10:10:00,2022-00001938,19522 E FRANKLIN RD
2022-02-08 10:10:00,2022-00002477,19522 E FRANKLIN RD
2022-02-08 10:12:00,2022-00006896,900 E MAIN ST
2022-02-08 10:20:00,2022-00006897,223 E GRAY ST
2022-02-08 10:25:00,2022-00006898,2815 S MONITOR AVE
2022-02-08 10:35:00,2022-00001939,129 W GRAY ST
2022-02-08 10:35:00,2022-00002479,129 W GRAY ST
2022-02-08 10:40:00,2022-00006903,2067 W LINDSEY ST
2022-02-08 10:42:00,2022-00006915,731 W MAIN ST
2022-02-08 10:47:00,2022-00006916,2305 W LINDSEY ST
2022-02-08 10:50:00,2022-00006906,2556 S CLASSEN BLVD
2022-02-08 10:50:00,2022-00006917,151 12TH AVE SE
2022-02-08 10:52:00,2022-00006908,911 W MAIN ST
2022-02-08 10:55:00,2022-00006909,201 REED AVE
2022-02-08 10:57:00,2022-00001940,1601 180TH AVE NE
2022-02-08 10:57:00,2022-00002480,1601 180TH AVE NE
2022-02-08 11:01:00,2022-00006923,213 MIMOSA DR
2022-02-08 11:01:00,2022-00006930,796 ASP AVE
2022-02-08 11:05:00,2022-00006919,215 E BOYD ST
2022-02-08 11:05:00,2022-00006910,3901 N FLOOD AVE
2022-02-08 11:12:00,2022-00006911,2420 CLASSEN BLVD
2022-02-08 11:16:00,2022-00006912,REAGAN ELEMENTARY
2022-02-08 11:17:00,2022-00006913,201 REED AVE
2022-02-08 11:20:00,2022-00006914,3401 HAVENBROOK ST
2022-02-08 11:21:00,2022-00006920,613 24TH AVE SW
